Timestamp,Speaker,Role,Content,Date,Filename
15:12,The Deputy First Minister and Cabinet Secretary for Economy and Gaelic,Kate Forbes,"On Thursday 13 June, I made a statement in the chamber on the Scottish Government’s current position with regard to European structural and investment funds. That statement addressed the inaccurate reports in the media, and I made it clear that I would make a further statement once both the programmes—the European social fund and the European regional development fund—had formally closed.",2024-06-26,scottish_parliament_report_26_06_24.txt
15:12,The Deputy First Minister and Cabinet Secretary for Economy and Gaelic,Kate Forbes,"I did not expect the next statement to be quite so soon; at that point, I was clear that it was unlikely to be before the second half of 2025. As I said less than a fortnight ago, I would confirm the final outturn figures and outcomes achieved at that point. Until then, estimates of the use of the funding allocations, the final eligible expenditure and the reimbursements from the European Commission are all speculative.",2024-06-26,scottish_parliament_report_26_06_24.txt
15:12,The Deputy First Minister and Cabinet Secretary for Economy and Gaelic,Kate Forbes,"Opposition parties have requested another statement less than a fortnight after my first statement. In the intervening time, nothing has changed, there has been no new information and further reports in the press have not changed the original points that I made. However, I am never one to shy away from stating the facts once again, so I thank the Presiding Officer for the opportunity to repeat and confirm all the points that I made a fortnight ago.",2024-06-26,scottish_parliament_report_26_06_24.txt
15:12,The Deputy First Minister and Cabinet Secretary for Economy and Gaelic,Kate Forbes,"As I explained in my statement less than a fortnight ago, the system for administering and paying out European structural funds is retrospective. Allocations of potential funding are notified to member states at the start of each seven-year programme. Projects are then set up by partner organisations and they incur costs. Those costs are incurred initially and entirely by the organisations themselves. For example, in the third sector, that might be a charity. In the public sector, that might be local government or NatureScot. Those costs are then claimed back from the Scottish Government at our risk. Once we have paid the costs that our partners have incurred, we focus on submitting reimbursement claims to the European Commission, which reimburses us only after all the evidence has been checked and verified.",2024-06-26,scottish_parliament_report_26_06_24.txt
15:12,The Deputy First Minister and Cabinet Secretary for Economy and Gaelic,Kate Forbes,"Furthermore, the funds cannot be used for core public services, so they cannot be used—as some have suggested—to mitigate the impact of austerity on our national health service, on local government or on core infrastructure. The funds are not a replacement for public sector funding.",2024-06-26,scottish_parliament_report_26_06_24.txt
15:12,The Deputy First Minister and Cabinet Secretary for Economy and Gaelic,Kate Forbes,The projects that are under discussion all completed their delivery by December 2023. We are currently continuing to check and to pay out on our partners’ final claims for the costs of delivering those projects. We will submit substantial reimbursement claims to the European Commission in July—next month—and a final one will be submitted in October this year. Those will include reimbursement claims for all structural fund projects delivered by partners and for eligible funding towards the costs of accommodation and support services for Ukrainian migrants to Scotland. The date of the final reimbursement payments from the European Commission to us will not be until 2025.,2024-06-26,scottish_parliament_report_26_06_24.txt
15:12,The Deputy First Minister and Cabinet Secretary for Economy and Gaelic,Kate Forbes,"As I said in my statement on 13 June, and as is detailed in the Scottish Parliament information centre’s briefing, our original allocation of potential funding at the start of the programme was marginally reduced by the European Commission because some of our partners did not meet their annual spending targets. Let me be crystal clear about why that was.",2024-06-26,scottish_parliament_report_26_06_24.txt
15:12,The Deputy First Minister and Cabinet Secretary for Economy and Gaelic,Kate Forbes,"Some partners had overestimated the costs that they would incur and the pace at which they would incur them, others were unable to meet the very strict criteria for projects and some partners struggled to prove eligibility for all their costs. For all those reasons, some potential funding was foregone—as a European Commission official pointed out as a statement of fact back in 2019. Changes to funding allocations have happened in other parts of the United Kingdom and, indeed, across Europe over the past 40 years of the programmes.",2024-06-26,scottish_parliament_report_26_06_24.txt
15:12,The Deputy First Minister and Cabinet Secretary for Economy and Gaelic,Kate Forbes,"However, no money was handed back. It is simply the case that the ceiling of total funding allocations to Scotland was lowered. That did not impact on the delivery of any projects that were under way or on the ability of any partners to extend projects or to claim funding back from the Scottish Government. Those points are important, because the contrary has been claimed publicly.",2024-06-26,scottish_parliament_report_26_06_24.txt
15:12,The Deputy First Minister and Cabinet Secretary for Economy and Gaelic,Kate Forbes,"As I said previously, Scottish Government officials repeatedly encourage our partners, including via the Convention of Scottish Local Authorities, to spend their allocations, to put forward any new projects or to expand existing ones to maximise the use of the funds. However, as I explained before, many projects and types of spending are simply not eligible. European structural funds cannot be used for anything whose funding could or should be met from regular domestic budgets; it must be additional.",2024-06-26,scottish_parliament_report_26_06_24.txt
